Gene Set	NES	FDR
INTERFERON_ALPHA_RESPONSE	1.9817927	0
INTERFERON_GAMMA_RESPONSE	1.7882558	0
ALLOGRAFT_REJECTION	1.6533825	0.002419609
SPERMATOGENESIS	1.564179	0.005441246
PANCREAS_BETA_CELLS	1.4047366	0.03613739
IL6_JAK_STAT3_SIGNALING	1.2657962	0.16082963
INFLAMMATORY_RESPONSE	1.2266494	0.2069221
E2F_TARGETS	1.1235429	0.4779245
KRAS_SIGNALING_UP	0.939493	1
KRAS_SIGNALING_DN	0.9362383	1
MYC_TARGETS_V1	0.9224973	1
PROTEIN_SECRETION	0.8848291	1
G2M_CHECKPOINT	0.8645002	1
COMPLEMENT	0.8306813	1
MTORC1_SIGNALING	0.6851272	1
IL2_STAT5_SIGNALING	0.67155004	1
OXIDATIVE_PHOSPHORYLATION	0.5509825	0.9965079
HYPOXIA	NA	1
MYOGENESIS	NA	1
GLYCOLYSIS	NA	1
ESTROGEN_RESPONSE_EARLY	-2.399016	0
APICAL_JUNCTION	-2.2325747	0
ADIPOGENESIS	-2.210169	0
TNFA_SIGNALING_VIA_NFKB	-2.0850682	0.007778066
EPITHELIAL_MESENCHYMAL_TRANSITION	-2.0480645	0.006805807
P53_PATHWAY	-1.9904943	0.006049607
ESTROGEN_RESPONSE_LATE	-1.8637139	0.008166969
COAGULATION	-1.8488139	0.007424517
TGF_BETA_SIGNALING	-1.7669448	0.006805807
MYC_TARGETS_V2	-1.6481649	0.016054725
NOTCH_SIGNALING	-1.597778	0.022037856
UV_RESPONSE_DN	-1.5691277	0.020568665
UV_RESPONSE_UP	-1.4623787	0.044804897
REACTIVE_OXYGEN_SPECIES_PATHWAY	-1.3936702	0.065389134
APICAL_SURFACE	-1.3917868	0.061756402
APOPTOSIS	-1.3917464	0.058506068
CHOLESTEROL_HOMEOSTASIS	-1.3709589	0.06601633
WNT_BETA_CATENIN_SIGNALING	-1.3703579	0.0628727
XENOBIOTIC_METABOLISM	-1.2813427	0.095900014
HEDGEHOG_SIGNALING	-1.2039437	0.1540677
ANGIOGENESIS	-1.0771692	0.36804295
PEROXISOME	-1.0657073	0.38453722
BILE_ACID_METABOLISM	-1.0477598	0.40464887
MITOTIC_SPINDLE	-1.0456702	0.39470327
PI3K_AKT_MTOR_SIGNALING	-0.9117702	0.7404719
HEME_METABOLISM	-0.8736535	0.78956753
ANDROGEN_RESPONSE	-0.80949616	0.8639745
DNA_REPAIR	-0.72455084	0.92201865
UNFOLDED_PROTEIN_RESPONSE	-0.72351366	0.8966084
FATTY_ACID_METABOLISM	-0.6108429	0.90174884
